descriptor,model,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2
morgan_r0_bits_1024,elasticnet,0.9744417633915543,0.023791984551721903,0.7681797803332892,0.02098383583827979,0.2437478271486843,0.011335658545092983
morgan_r0_bits_2048,elasticnet,0.9744419293052028,0.0237918824900961,0.7681798962894759,0.020983770692070677,0.24374755874646245,0.011336126536169232
morgan_r0_bits_1024,rf,0.9757231486785114,0.017932797119427406,0.745006238017821,0.013409688533164583,0.2413895102025696,0.020010537722926672
morgan_r0_bits_2048,rf,0.9757838121766467,0.01803112675125196,0.7448911432066558,0.013235843949398727,0.2413161074386601,0.01931428465549885
rdkit_count_1024,ridge,0.9770131206469002,0.05599029550039075,0.7424943086578849,0.016632878548050564,0.2400609161156316,0.05234169266189977
morgan_r0_bits_512,elasticnet,0.9866600289786962,0.020684696481668232,0.7804644726475403,0.019849394849396216,0.22444836273289023,0.016880879289774803
torsion_bits_1024,ridge,0.9883900939532534,0.0720314108005941,0.7265558772364276,0.0263711192735353,0.22118871717600347,0.08328485144697735
rdkit_bits_1024,ridge,0.9915373848205704,0.006857215523919728,0.7662102380193924,0.009141623625358915,0.2155030955712472,0.04146943249837532
morgan_r0_bits_512,rf,0.9948385582847334,0.014324753418778854,0.7624828595108343,0.010241953694757411,0.21127364730116374,0.02073501951174622
morgan_r1_count_2048,ridge,1.015320578644428,0.10732020845788436,0.6914381774710556,0.027463165341346473,0.17659668410668133,0.13626784220386193
torsion_bits_2048,ridge,1.0301400745774099,0.03724278652590491,0.7712329061320542,0.016907821546920228,0.15387092490638907,0.0531692483330851
atom_pair_bits_1024,ridge,1.0433909179930108,0.04269401115244888,0.7573838362044898,0.026363343967511634,0.12966805721787045,0.08696382917387074
atom_pair_count_1024,ridge,1.0885449116416601,0.2271432624819838,0.6947820189917409,0.03445890465678567,0.026203834578238983,0.3802725487669221
torsion_count_1024,ridge,1.132252451949143,0.10288708406950442,0.7351971659768153,0.013023659843548039,-0.038906435634715075,0.23207315764393943
morgan_r2_bits_2048,ridge,1.1858469795113753,0.024698322478374935,0.9211358364366999,0.012928958087805626,-0.12043203873906436,0.03007737545003359
morgan_r2_count_2048,ridge,1.2049612001069063,0.07372358826370659,0.9070119026222013,0.019247382458536574,-0.15603366354586923,0.08872919684829968
rdkit_bits_2048,ridge,1.2427042476105776,0.037399930435905164,0.9730750055079926,0.028640319125464397,-0.234553211116005,0.11284101088701701
atom_pair_bits_2048,ridge,1.2624806430039335,0.08838865179876962,0.8919587882338478,0.02189444721076545,-0.2705487473005515,0.1310118836138995
rdkit_count_2048,ridge,1.3146202999164776,0.09759096465731767,0.9737744196235596,0.047443320882734584,-0.37658198413795485,0.1397708289115426
atom_pair_count_2048,ridge,1.8767439104175836,0.34736420439325055,1.0119154371098953,0.0660789366172304,-1.87073191423028,0.9225315406009396
torsion_count_2048,ridge,2.5946581591851046,2.0813522939119617,0.9466908009961003,0.09856661362659501,-7.8710264373073455,13.821494403665264
